src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flags,duration,packet_count,byte_count,label
192.168.1.1,10.0.0.100,57403,25,TCP,857,SYN,2.1864663592997045,15,652,0
172.16.0.1,192.168.1.100,5048,3389,ICMP,24,FIN,0.08158943967793514,99,400,1
172.16.0.1,1.1.1.1,32796,22,TCP,35,FIN,0.20563320815929315,88,5175,1
172.16.0.1,192.168.1.200,9746,3389,UDP,98,ACK,0.009252271686650094,93,7869,1
172.16.0.1,1.1.1.1,51166,8080,ICMP,356,RST,0.6732021542728777,7,1599,0
192.168.1.2,10.0.0.100,3144,8080,UDP,4824,PSH,1.4380906062517758,13,1792,0
10.0.0.1,192.168.1.200,31113,53,TCP,394,PSH,1.6768000363990136,11,2206,0
172.16.0.1,192.168.1.100,22372,22,ICMP,229,PSH,0.42059496759480697,7,7258,0
172.16.0.1,192.168.1.100,52617,3389,UDP,1729,ACK,0.3946247715357175,13,1518,0
10.0.0.2,1.1.1.1,6901,21,UDP,546,SYN,1.332492832247784,9,461,0
10.0.0.1,192.168.1.200,44512,53,TCP,586,SYN,1.159496317943376,5,1849,0
192.168.1.1,192.168.1.200,19928,21,UDP,796,PSH,0.7198961839695582,9,16911,0
10.0.0.1,1.1.1.1,21816,25,TCP,905,RST,0.5451763508101602,12,2850,0
10.0.0.1,1.1.1.1,27061,80,TCP,892,RST,1.070490663521513,12,4104,0
10.0.0.1,8.8.8.8,18359,21,TCP,35,FIN,0.03297093690779737,8,7183,0
172.16.0.1,8.8.8.8,15683,3389,TCP,1708,RST,0.07870730684135004,10,4088,0
172.16.0.1,1.1.1.1,30708,25,ICMP,216,PSH,0.8511744588349505,11,5347,0
192.168.1.2,10.0.0.100,1988,443,UDP,345,FIN,0.23607523216394177,8,10615,0
192.168.1.1,8.8.8.8,35926,22,UDP,190,PSH,1.4906953160270573,12,2333,0
10.0.0.2,1.1.1.1,54630,80,ICMP,1457,SYN,1.4800073054472178,9,590,0
10.0.0.1,192.168.1.200,59062,22,TCP,7,PSH,0.23235477689884393,94,496,1
192.168.1.1,8.8.8.8,36036,3389,TCP,1407,FIN,2.339276937128551,8,7631,0
192.168.1.1,10.0.0.100,36595,23,TCP,384,PSH,0.08167427647425474,95,5319,1
192.168.1.2,192.168.1.100,4935,80,TCP,109,ACK,0.3000790483137098,8,4179,0
10.0.0.2,192.168.1.200,12240,443,ICMP,358,FIN,0.29075247813245847,11,13296,0
10.0.0.1,10.0.0.100,2432,80,UDP,707,RST,1.5250447253200292,10,4928,0
10.0.0.2,10.0.0.100,22645,25,TCP,363,SYN,0.7367744775868276,7,244,0
192.168.1.2,10.0.0.100,22001,23,TCP,122,RST,0.07764425910869438,109,3161,1
172.16.0.1,192.168.1.200,14219,80,TCP,2038,PSH,0.14667700953120785,8,1209,0
192.168.1.1,10.0.0.100,44962,80,UDP,1377,RST,2.2350791165913386,5,4855,0
10.0.0.1,192.168.1.100,58227,23,UDP,180,FIN,0.014820357434520629,107,1039,1
172.16.0.1,8.8.8.8,58829,25,ICMP,1448,ACK,0.7518891828084052,7,5178,0
192.168.1.2,192.168.1.200,41455,22,UDP,9,RST,0.06103877772014415,112,10742,1
10.0.0.2,10.0.0.100,43601,22,UDP,3,PSH,1.894396694082975,9,401,0
192.168.1.1,1.1.1.1,8137,21,TCP,478,RST,0.1961625538723928,10,1498,0
10.0.0.1,8.8.8.8,41934,53,UDP,343,RST,0.7095420321809286,19,5596,0
172.16.0.1,192.168.1.200,23785,80,TCP,245,FIN,0.6656850438913867,7,6210,0
172.16.0.1,1.1.1.1,26016,443,ICMP,289,PSH,1.8597369904769068,8,4419,0
192.168.1.1,1.1.1.1,14802,22,TCP,402,PSH,0.06626752469467662,89,748,1
10.0.0.2,10.0.0.100,23009,3389,ICMP,698,ACK,0.015081567030427671,79,1389,1
192.168.1.2,192.168.1.200,51564,25,UDP,1881,FIN,1.0120875517475971,10,11894,0
10.0.0.2,10.0.0.100,56472,22,ICMP,241,FIN,2.905062200243464,6,8552,0
10.0.0.2,192.168.1.100,5391,80,TCP,191,SYN,2.295261326592359,11,14980,0
10.0.0.2,1.1.1.1,46471,25,UDP,2196,ACK,0.7632432385703928,5,2630,0
192.168.1.1,192.168.1.100,11810,21,UDP,684,ACK,0.9332354629550598,12,2895,0
192.168.1.1,10.0.0.100,46804,22,TCP,2255,PSH,1.9132584666279058,10,1497,0
192.168.1.2,8.8.8.8,43730,22,UDP,65,PSH,1.3640956467854184,5,3717,0
10.0.0.2,1.1.1.1,45485,25,TCP,2482,ACK,2.1147422161471776,11,8855,0
192.168.1.1,8.8.8.8,64138,53,ICMP,536,FIN,2.262697432412814,7,1422,0
192.168.1.2,192.168.1.200,31932,3389,ICMP,168,SYN,1.787285612042507,12,757,0
192.168.1.2,1.1.1.1,12075,443,UDP,1150,PSH,0.009422462193164957,8,6942,0
10.0.0.2,192.168.1.100,37770,3389,TCP,437,SYN,0.04088387645117905,106,5911,1
10.0.0.1,8.8.8.8,16635,22,TCP,48,ACK,0.5167045165332137,7,8836,0
10.0.0.2,192.168.1.200,5514,23,ICMP,230,FIN,0.21108925883502871,114,6962,1
10.0.0.1,1.1.1.1,63125,22,TCP,314,SYN,0.003392627835426866,124,2717,1
192.168.1.2,192.168.1.200,51028,8080,UDP,387,RST,0.3909087642021435,9,852,0
192.168.1.1,192.168.1.100,61658,3389,UDP,164,ACK,0.5111640803201529,7,6267,0
172.16.0.1,1.1.1.1,32337,22,ICMP,498,FIN,3.1085337476228587,8,10535,0
192.168.1.2,192.168.1.200,64701,22,TCP,249,ACK,0.5747560570164757,9,829,0
192.168.1.1,10.0.0.100,7401,21,UDP,681,ACK,0.1516048501058535,7,3655,0
192.168.1.2,1.1.1.1,10927,443,UDP,1522,SYN,0.006376090809876719,11,1993,0
10.0.0.2,1.1.1.1,15591,21,UDP,1079,SYN,0.2699897239753911,16,3664,0
10.0.0.1,1.1.1.1,23909,443,TCP,572,RST,2.7937861064760035,6,159,0
192.168.1.2,1.1.1.1,60893,3389,ICMP,126,PSH,3.1009269278158333,7,2181,0
192.168.1.1,10.0.0.100,29246,3389,ICMP,3150,RST,0.7529000638409291,7,3310,0
10.0.0.2,192.168.1.100,58290,8080,UDP,315,FIN,1.0394852906570862,14,817,0
172.16.0.1,10.0.0.100,49580,21,ICMP,325,FIN,1.589233453535688,13,2616,0
10.0.0.2,10.0.0.100,27630,21,UDP,1037,ACK,0.05751007883217172,15,968,0
10.0.0.1,192.168.1.200,58604,21,UDP,1471,SYN,0.4688959215297313,6,1214,0
10.0.0.2,8.8.8.8,18464,3389,TCP,4144,ACK,1.027913320385608,12,19007,0
172.16.0.1,8.8.8.8,3284,3389,UDP,3479,PSH,2.285270159114298,11,4604,0
192.168.1.1,192.168.1.200,31291,25,UDP,2450,ACK,1.2976593604207654,17,2466,0
192.168.1.2,10.0.0.100,28026,21,TCP,571,FIN,0.43087748334637904,12,3683,0
10.0.0.1,192.168.1.200,59393,8080,TCP,182,FIN,2.4077491655727417,10,2414,0
172.16.0.1,1.1.1.1,51084,53,ICMP,878,RST,1.0924894165186,11,4604,0
10.0.0.1,192.168.1.200,17857,53,TCP,17,ACK,1.7733418364914428,7,2,0
10.0.0.2,192.168.1.200,50744,22,UDP,218,SYN,0.48695862317131033,12,1346,0
10.0.0.1,1.1.1.1,4522,80,TCP,2,PSH,0.0021611744057975306,14,22512,0
172.16.0.1,8.8.8.8,61228,21,TCP,199,PSH,0.18172404813002152,13,595,0
192.168.1.2,1.1.1.1,47753,80,ICMP,643,SYN,2.619729169540348,9,411,0
192.168.1.2,192.168.1.100,11542,80,TCP,499,PSH,0.03368505830017976,7,3397,0
10.0.0.1,192.168.1.200,13525,22,UDP,460,SYN,0.9064375838003802,10,1718,0
192.168.1.1,192.168.1.200,23278,80,UDP,1777,SYN,0.5261550323565594,9,3815,0
10.0.0.1,8.8.8.8,35100,8080,UDP,1123,RST,0.5613800376507546,10,16185,0
10.0.0.2,10.0.0.100,16926,3389,TCP,2755,ACK,0.5121904699686601,8,674,0
192.168.1.2,1.1.1.1,34509,80,TCP,589,FIN,0.06980659007257459,14,2898,0
192.168.1.2,10.0.0.100,26569,3389,UDP,317,FIN,0.13048517554478953,10,7110,0
192.168.1.2,192.168.1.100,4369,3389,TCP,130,ACK,0.06500726980242533,16,876,0
192.168.1.1,1.1.1.1,16394,53,ICMP,1114,PSH,0.05541531418926824,8,6225,0
192.168.1.1,192.168.1.100,65382,22,ICMP,377,SYN,0.07416208189774119,110,2555,1
172.16.0.1,192.168.1.100,57390,80,ICMP,203,FIN,1.1927598774349724,11,4848,0
10.0.0.1,192.168.1.100,57858,443,ICMP,2109,RST,0.12126995816184122,8,3728,0
10.0.0.1,1.1.1.1,47745,8080,UDP,747,PSH,0.3031247873517344,12,2994,0
10.0.0.2,1.1.1.1,60853,21,TCP,155,RST,1.069876690766694,5,3260,0
192.168.1.2,8.8.8.8,29255,8080,ICMP,1029,FIN,0.1190827505093407,7,796,0
192.168.1.1,192.168.1.200,52894,8080,UDP,734,ACK,2.4107968757865814,10,2847,0
10.0.0.2,10.0.0.100,42887,21,ICMP,28,ACK,0.6491000142647018,13,6993,0
10.0.0.2,10.0.0.100,10666,80,TCP,509,RST,3.298392367667577,7,11348,0
192.168.1.1,192.168.1.100,18863,22,ICMP,1536,PSH,0.21382552257223536,12,4926,0
10.0.0.1,1.1.1.1,24705,443,ICMP,810,FIN,0.03110311293228202,7,8781,0
192.168.1.2,1.1.1.1,8059,3389,ICMP,48,SYN,0.15217164067198238,97,3541,1
10.0.0.1,192.168.1.100,64900,22,ICMP,2640,ACK,0.398596333127009,14,1217,0
10.0.0.2,192.168.1.200,54406,80,TCP,271,RST,0.849544981561196,9,6435,0
192.168.1.2,10.0.0.100,34323,25,UDP,291,FIN,0.6417892126293719,10,6050,0
172.16.0.1,8.8.8.8,36059,80,ICMP,437,PSH,0.6109336008873313,6,36,0
10.0.0.2,192.168.1.200,50508,53,UDP,2249,SYN,1.9050018607825043,11,3264,0
10.0.0.1,1.1.1.1,55425,25,TCP,708,SYN,0.21298780091604802,13,13802,0
10.0.0.1,192.168.1.100,24607,3389,TCP,1146,ACK,0.6924172762208809,12,20789,0
10.0.0.1,10.0.0.100,23129,22,ICMP,30,SYN,0.34339409102529234,94,3052,1
192.168.1.1,192.168.1.100,17154,25,UDP,1529,FIN,1.1201508506299778,13,6396,0
10.0.0.2,1.1.1.1,14760,22,ICMP,45,ACK,0.10732313599180582,99,89,1
192.168.1.2,192.168.1.100,43305,80,TCP,1552,ACK,0.7537902417292439,11,1560,0
10.0.0.1,10.0.0.100,14839,22,ICMP,1379,ACK,0.6511239683279388,14,6396,0
10.0.0.1,192.168.1.100,25420,23,ICMP,438,FIN,0.004113370906506381,103,5292,1
192.168.1.1,10.0.0.100,25336,3389,UDP,393,RST,1.4098570570853497,12,5402,0
192.168.1.2,192.168.1.100,13268,53,TCP,1238,SYN,0.16839334864414124,7,5961,0
10.0.0.2,192.168.1.100,43692,80,ICMP,272,SYN,0.7117479857016081,8,2804,0
172.16.0.1,10.0.0.100,56676,21,ICMP,233,RST,1.5312596598364077,13,13894,0
192.168.1.1,192.168.1.100,12742,3389,ICMP,82,ACK,0.1269788483126095,99,2279,1
10.0.0.2,192.168.1.200,17808,22,UDP,2125,PSH,0.44114529776398836,14,11618,0
172.16.0.1,8.8.8.8,31707,25,TCP,77,FIN,0.47265574536435095,14,310,0
10.0.0.1,192.168.1.200,57215,25,ICMP,590,ACK,0.4572910904623119,10,9458,0
10.0.0.1,8.8.8.8,45614,21,ICMP,934,ACK,0.02015625512055221,11,1806,0
192.168.1.2,192.168.1.200,45021,53,ICMP,1127,ACK,1.3115437098657425,11,5390,0
172.16.0.1,8.8.8.8,32452,443,TCP,5571,SYN,0.9438771602068744,9,282,0
10.0.0.1,192.168.1.100,37783,3389,UDP,1147,SYN,0.31290077031575264,8,417,0
10.0.0.1,10.0.0.100,59846,8080,UDP,967,PSH,0.9943154463136128,7,293,0
192.168.1.2,10.0.0.100,27514,3389,ICMP,4578,FIN,0.36922389810282336,7,3316,0
10.0.0.2,1.1.1.1,51233,3389,ICMP,62,ACK,0.27889591772771577,12,2690,0
10.0.0.1,8.8.8.8,41725,3389,UDP,33,SYN,0.13061513753940868,106,1922,1
192.168.1.1,1.1.1.1,48375,21,UDP,822,RST,1.6560558890776282,9,2952,0
192.168.1.1,1.1.1.1,53169,23,UDP,1559,SYN,0.07702985413289302,119,1881,1
10.0.0.2,8.8.8.8,42025,53,ICMP,101,ACK,1.5331559305003766,15,10258,0
172.16.0.1,10.0.0.100,46880,443,ICMP,365,ACK,0.4552334302656669,8,4136,0
192.168.1.2,8.8.8.8,60538,25,UDP,1121,SYN,0.0745121368087122,7,1856,0
192.168.1.1,192.168.1.100,17434,21,UDP,2125,RST,0.9285799565861254,11,3031,0
192.168.1.1,1.1.1.1,53709,8080,TCP,99,RST,0.29568232139182804,7,10092,0
10.0.0.2,1.1.1.1,36410,80,ICMP,776,ACK,1.5027353567258066,11,2630,0
172.16.0.1,8.8.8.8,10386,3389,TCP,351,SYN,0.4433345206895966,16,2785,0
172.16.0.1,1.1.1.1,40431,443,UDP,1100,FIN,1.1107042191019634,7,2060,0
10.0.0.2,10.0.0.100,62066,3389,ICMP,36,FIN,0.0474510393917801,114,1508,1
192.168.1.1,1.1.1.1,56805,443,ICMP,2613,ACK,1.7009217566425976,14,3190,0
192.168.1.2,8.8.8.8,25035,25,TCP,38,RST,1.7856109405220195,15,6670,0
192.168.1.1,10.0.0.100,8066,53,TCP,634,FIN,0.07074197561263813,6,2294,0
172.16.0.1,10.0.0.100,26310,22,TCP,214,SYN,0.34972154316395937,12,1285,0
192.168.1.1,1.1.1.1,12415,3389,TCP,769,PSH,2.0470063953893924,16,5394,0
192.168.1.2,8.8.8.8,28023,80,ICMP,1921,PSH,0.5174972123087919,10,8265,0
10.0.0.1,1.1.1.1,3042,3389,UDP,2422,RST,0.7233370293371816,8,110,0
