src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flags,duration,packet_count,byte_count,label
10.0.0.2,192.168.1.200,61647,3389,TCP,621,ACK,4.127716934461921,11,8341,0
172.16.0.1,8.8.8.8,13521,3389,UDP,40,FIN,0.04407663877142006,93,11082,1
10.0.0.1,1.1.1.1,19968,3389,UDP,890,SYN,1.438401312133904,9,1538,0
172.16.0.1,8.8.8.8,8551,3389,ICMP,1262,PSH,1.7111571604534697,13,764,0
172.16.0.1,8.8.8.8,39488,25,TCP,463,ACK,1.1016587165989247,11,1091,0
192.168.1.2,1.1.1.1,4096,3389,ICMP,63,ACK,0.12148252003887008,91,10116,1
10.0.0.1,8.8.8.8,13042,3389,ICMP,1830,ACK,1.0004428673079617,14,1685,0
10.0.0.1,1.1.1.1,30676,21,ICMP,160,ACK,1.0480336620266766,11,1315,0
10.0.0.1,1.1.1.1,5500,22,UDP,115,PSH,0.08037091309670344,110,19288,1
172.16.0.1,1.1.1.1,44859,3389,ICMP,208,PSH,0.015328647070030519,91,5543,1
10.0.0.2,192.168.1.200,31256,80,TCP,1213,SYN,0.32121132906031213,14,8925,0
10.0.0.1,10.0.0.100,28506,22,UDP,18,ACK,0.09789792884122257,8,6872,0
172.16.0.1,192.168.1.200,38281,21,ICMP,1110,FIN,1.815997632326514,8,2342,0
192.168.1.2,1.1.1.1,63537,3389,TCP,78,RST,0.17162745074871347,95,9929,1
10.0.0.2,10.0.0.100,21899,443,ICMP,66,ACK,2.376280725298714,16,4435,0
192.168.1.2,10.0.0.100,17243,23,ICMP,39,PSH,0.04078230050043903,107,5355,1
10.0.0.2,1.1.1.1,31472,3389,ICMP,33,SYN,0.21037170393345775,100,1973,1
172.16.0.1,10.0.0.100,15391,80,UDP,2253,ACK,0.5948532770126438,12,19859,0
192.168.1.1,10.0.0.100,26144,23,ICMP,60,SYN,0.18466370309014174,84,9641,1
10.0.0.2,192.168.1.200,7879,22,TCP,103,FIN,0.01580570153417454,99,801,1
192.168.1.2,10.0.0.100,57577,53,ICMP,1227,FIN,0.432773012124005,17,1140,0
172.16.0.1,1.1.1.1,4121,80,ICMP,390,FIN,0.9946995447664935,7,6903,0
10.0.0.2,192.168.1.100,45609,23,UDP,19,FIN,0.2403309281324244,107,130,1
192.168.1.1,192.168.1.100,20913,23,ICMP,607,RST,0.007940608072195513,94,2043,1
192.168.1.1,192.168.1.100,2108,3389,TCP,1376,SYN,0.05346774565067254,113,3801,1
10.0.0.1,1.1.1.1,34344,3389,TCP,408,ACK,2.1956685793637702,10,1146,0
10.0.0.1,192.168.1.100,22968,3389,ICMP,2872,RST,2.26187725394666,9,10323,0
192.168.1.2,192.168.1.200,34945,25,TCP,1633,ACK,0.6678911331669739,6,11003,0
10.0.0.2,1.1.1.1,62306,3389,TCP,2748,PSH,0.02490708801142402,10,15714,0
10.0.0.2,1.1.1.1,22881,22,ICMP,409,RST,0.01844665357981233,111,791,1
10.0.0.1,1.1.1.1,52421,23,TCP,351,RST,0.01257762895210382,129,413,1
10.0.0.2,10.0.0.100,65310,25,TCP,257,PSH,0.6505737009600634,7,4060,0
10.0.0.2,10.0.0.100,19094,25,ICMP,820,RST,0.01998860537515655,8,7861,0
192.168.1.1,10.0.0.100,56011,443,UDP,2129,SYN,0.4347774904936309,16,1719,0
10.0.0.1,8.8.8.8,50869,53,UDP,626,FIN,1.0127044069886153,5,1378,0
172.16.0.1,192.168.1.200,57714,21,ICMP,704,ACK,0.46394347402288005,8,3646,0
10.0.0.1,1.1.1.1,25499,443,UDP,144,PSH,2.6158087054902004,12,3289,0
172.16.0.1,1.1.1.1,62158,80,UDP,545,FIN,1.0237747044850993,13,3265,0
192.168.1.1,10.0.0.100,64658,443,UDP,489,RST,1.039713029883486,9,2598,0
192.168.1.2,1.1.1.1,23243,443,UDP,433,SYN,0.4691033082073705,9,6492,0
10.0.0.2,1.1.1.1,42481,22,ICMP,112,RST,0.012073099298859857,102,4768,1
192.168.1.1,192.168.1.100,60463,80,UDP,61,PSH,1.340096978130963,8,3345,0
10.0.0.2,1.1.1.1,32513,22,UDP,82,RST,3.491670976045105e-05,111,6377,1
192.168.1.2,8.8.8.8,24202,8080,ICMP,8,SYN,0.7552886345680119,10,1516,0
192.168.1.2,10.0.0.100,14507,443,ICMP,2911,RST,0.5383133728451533,6,11120,0
192.168.1.1,192.168.1.200,58980,443,UDP,794,RST,0.7728768789113576,8,2423,0
192.168.1.2,192.168.1.200,48826,23,TCP,113,RST,0.15695114446388228,93,1984,1
172.16.0.1,192.168.1.100,45951,3389,ICMP,3,RST,0.030365415366186078,110,3907,1
192.168.1.2,192.168.1.200,63802,21,ICMP,1061,SYN,1.0732652434211891,15,1576,0
10.0.0.2,192.168.1.200,58743,22,UDP,34,ACK,0.0009251867005043761,100,1564,1
10.0.0.2,10.0.0.100,34597,53,TCP,150,FIN,0.9413223687587963,8,405,0
10.0.0.2,10.0.0.100,34712,21,ICMP,135,PSH,0.014615941929960683,11,5276,0
10.0.0.2,8.8.8.8,46954,8080,ICMP,362,ACK,0.962501793332639,17,12193,0
172.16.0.1,192.168.1.100,53780,53,ICMP,176,SYN,0.9481923339302506,5,5780,0
10.0.0.1,192.168.1.200,32553,21,TCP,117,PSH,0.07217954730505981,9,4193,0
192.168.1.1,8.8.8.8,35235,443,ICMP,1134,PSH,0.5581439416856594,12,6220,0
10.0.0.2,192.168.1.100,40840,22,ICMP,158,RST,0.025121260983294997,91,16973,1
192.168.1.2,192.168.1.200,47499,8080,TCP,1099,FIN,1.219090610496793,13,2051,0
10.0.0.2,192.168.1.200,51721,25,ICMP,1979,FIN,2.2353903393734997,8,2816,0
192.168.1.2,10.0.0.100,35002,21,TCP,1055,SYN,1.841250057109162,10,1685,0
192.168.1.2,1.1.1.1,30701,53,TCP,127,ACK,0.12392262992761106,10,84,0
10.0.0.2,192.168.1.100,17028,21,TCP,852,RST,0.9384965324047772,14,2134,0
172.16.0.1,192.168.1.200,11296,80,UDP,500,FIN,0.9075327234278119,9,371,0
192.168.1.2,192.168.1.100,7236,23,ICMP,523,RST,0.005815095705910818,100,9773,1
192.168.1.2,8.8.8.8,22095,3389,ICMP,383,ACK,0.20347047422043799,6,6287,0
10.0.0.2,8.8.8.8,55486,443,ICMP,2651,PSH,0.22252956358563475,10,1812,0
192.168.1.2,1.1.1.1,44132,22,TCP,1356,ACK,0.19546487588952668,6,1987,0
192.168.1.2,192.168.1.200,10724,22,UDP,524,PSH,0.004634488632224924,117,4215,1
10.0.0.2,10.0.0.100,31004,22,TCP,646,ACK,0.16063018566037324,9,7998,0
10.0.0.2,192.168.1.200,18321,8080,ICMP,383,RST,0.30705788003331114,13,6341,0
192.168.1.1,192.168.1.100,52956,443,TCP,3813,ACK,0.24562999258460455,9,146,0
172.16.0.1,8.8.8.8,42373,23,UDP,250,FIN,0.15821308055250533,98,7692,1
172.16.0.1,192.168.1.100,57908,8080,ICMP,384,FIN,0.1724455586742452,16,10657,0
192.168.1.2,1.1.1.1,29649,22,TCP,434,SYN,0.024359244587350323,14,470,0
172.16.0.1,8.8.8.8,29855,8080,UDP,914,FIN,0.46876507164413417,16,7349,0
192.168.1.2,10.0.0.100,55163,21,TCP,652,FIN,0.36397907017097003,7,1449,0
192.168.1.1,8.8.8.8,53801,22,TCP,239,PSH,0.5070074306112391,9,954,0
10.0.0.2,192.168.1.200,59438,25,ICMP,1080,RST,1.4016749954368355,11,3924,0
10.0.0.2,192.168.1.200,57502,443,UDP,406,RST,0.012444015485934797,11,4022,0
10.0.0.2,8.8.8.8,63933,25,TCP,1060,PSH,0.03843692620160061,8,3182,0
172.16.0.1,1.1.1.1,30391,22,UDP,483,FIN,0.295236712843614,11,11603,0
192.168.1.1,192.168.1.200,46837,8080,ICMP,1204,ACK,2.2001050985753516,9,1382,0
172.16.0.1,192.168.1.200,36362,3389,ICMP,1102,PSH,0.18521513988784113,8,4613,0
172.16.0.1,10.0.0.100,21145,8080,ICMP,710,RST,5.82187597229317,9,2637,0
192.168.1.1,8.8.8.8,36571,8080,UDP,1219,SYN,1.638313663275915,12,10348,0
192.168.1.1,192.168.1.200,64666,23,UDP,132,RST,0.0013105727961310837,123,712,1
192.168.1.1,1.1.1.1,25938,80,TCP,123,ACK,1.3777796949882604,9,432,0
